TechStack,Portfolio_links
Backend,https://behance.net/user1
Go,https://behance.net/user2
DevOps,https://medium.com/user3
Laravel,https://dribbble.com/user4
HTML/CSS,https://medium.com/user5
Keras,https://medium.com/user6
Blockchain,https://dev.to/user7
Ruby,https://portfolio.com/user8
Vue.js,https://dev.to/user9
Flask,https://linkedin.com/in/user10
Backend,https://medium.com/user11
Docker,https://behance.net/user12
MATLAB,https://dev.to/user13
Data Science,https://portfolio.com/user14
PyTorch,https://dev.to/user15
Backend,https://medium.com/user16
HTML/CSS,https://dribbble.com/user17
C++,https://dev.to/user18
Angular,https://linkedin.com/in/user19
Game Development,https://linkedin.com/in/user20
Django,https://github.io/user21
Flask,https://portfolio.com/user22
Rust,https://dev.to/user23
Angular,https://linkedin.com/in/user24
Spring Boot,https://behance.net/user25
R,https://github.io/user26
Go,https://dribbble.com/user27
ASP.NET,https://dev.to/user28
TypeScript,https://medium.com/user29
JavaScript,https://behance.net/user30
HTML/CSS,https://portfolio.com/user31
Data Science,https://dev.to/user32
Vue.js,https://linkedin.com/in/user33
Shell,https://portfolio.com/user34
Game Development,https://dev.to/user35
Hadoop,https://medium.com/user36
Scala,https://linkedin.com/in/user37
SQL,https://linkedin.com/in/user38
Big Data,https://portfolio.com/user39
AWS,https://linkedin.com/in/user40
Laravel,https://dribbble.com/user41
Big Data,https://linkedin.com/in/user42
R,https://github.io/user43
TypeScript,https://github.io/user44
Go,https://github.io/user45
ASP.NET,https://portfolio.com/user46
Data Science,https://medium.com/user47
AWS,https://dev.to/user48
JavaScript,https://github.io/user49
SQL,https://linkedin.com/in/user50
Blockchain,https://portfolio.com/user51
Full Stack,https://medium.com/user52
ASP.NET,https://github.io/user53
SQL,https://dribbble.com/user54
Shell,https://portfolio.com/user55
Java,https://behance.net/user56
JavaScript,https://portfolio.com/user57
Vue.js,https://behance.net/user58
ASP.NET,https://dev.to/user59
Azure,https://behance.net/user60
Kubernetes,https://behance.net/user61
Full Stack,https://dribbble.com/user62
Azure,https://dribbble.com/user63
Frontend,https://medium.com/user64
C#,https://portfolio.com/user65
PHP,https://linkedin.com/in/user66
Ruby,https://behance.net/user67
Ruby,https://portfolio.com/user68
DevOps,https://behance.net/user69
AI,https://dribbble.com/user70
Java,https://linkedin.com/in/user71
Go,https://github.io/user72
AWS,https://dribbble.com/user73
SQL,https://linkedin.com/in/user74
ASP.NET,https://medium.com/user75
JavaScript,https://dribbble.com/user76
PyTorch,https://linkedin.com/in/user77
iOS Development,https://portfolio.com/user78
JavaScript,https://medium.com/user79
Java,https://github.io/user80
Docker,https://behance.net/user81
Game Development,https://behance.net/user82
Azure,https://dev.to/user83
Perl,https://github.io/user84
GCP,https://portfolio.com/user85
C++,https://github.io/user86
TensorFlow,https://behance.net/user87
AWS,https://linkedin.com/in/user88
Laravel,https://medium.com/user89
Spring Boot,https://behance.net/user90
GCP,https://linkedin.com/in/user91
C#,https://dribbble.com/user92
PHP,https://dev.to/user93
Frontend,https://portfolio.com/user94
Backend,https://linkedin.com/in/user95
C#,https://dev.to/user96
Big Data,https://portfolio.com/user97
TensorFlow,https://github.io/user98
MATLAB,https://dev.to/user99
Backend,https://dev.to/user100
Shell,https://linkedin.com/in/user101
ASP.NET,https://medium.com/user102
Blockchain,https://github.io/user103
Docker,https://dev.to/user104
Django,https://dev.to/user105
Scala,https://portfolio.com/user106
TypeScript,https://dev.to/user107
Perl,https://portfolio.com/user108
Spark,https://medium.com/user109
TensorFlow,https://dribbble.com/user110
Perl,https://dribbble.com/user111
DevOps,https://dribbble.com/user112
Python,https://dev.to/user113
DevOps,https://dev.to/user114
iOS Development,https://github.io/user115
Frontend,https://dev.to/user116
Big Data,https://portfolio.com/user117
Machine Learning,https://medium.com/user118
PHP,https://portfolio.com/user119
C#,https://linkedin.com/in/user120
Azure,https://github.io/user121
PHP,https://dribbble.com/user122
Go,https://linkedin.com/in/user123
Scala,https://dribbble.com/user124
Dart,https://linkedin.com/in/user125
Kotlin,https://behance.net/user126
Data Science,https://linkedin.com/in/user127
GCP,https://dev.to/user128
Dart,https://behance.net/user129
MATLAB,https://behance.net/user130
Spark,https://github.io/user131
DevOps,https://github.io/user132
Rust,https://portfolio.com/user133
Big Data,https://medium.com/user134
Vue.js,https://github.io/user135
PyTorch,https://linkedin.com/in/user136
Docker,https://behance.net/user137
HTML/CSS,https://github.io/user138
AWS,https://linkedin.com/in/user139
TypeScript,https://dev.to/user140
Hadoop,https://dev.to/user141
Blockchain,https://behance.net/user142
PyTorch,https://portfolio.com/user143
AI,https://portfolio.com/user144
Docker,https://portfolio.com/user145
Laravel,https://linkedin.com/in/user146
Python,https://github.io/user147
Laravel,https://linkedin.com/in/user148
Full Stack,https://dribbble.com/user149
TensorFlow,https://github.io/user150
Flask,https://github.io/user151
Frontend,https://medium.com/user152
Game Development,https://behance.net/user153
iOS Development,https://linkedin.com/in/user154
Scala,https://dev.to/user155
Angular,https://dribbble.com/user156
Spring Boot,https://github.io/user157
Backend,https://dribbble.com/user158
Docker,https://dribbble.com/user159
HTML/CSS,https://linkedin.com/in/user160
Spark,https://linkedin.com/in/user161
Big Data,https://linkedin.com/in/user162
C++,https://linkedin.com/in/user163
Spring Boot,https://dribbble.com/user164
Kotlin,https://medium.com/user165
Ruby,https://medium.com/user166
Azure,https://portfolio.com/user167
Kotlin,https://github.io/user168
C++,https://linkedin.com/in/user169
TypeScript,https://github.io/user170
Swift,https://dev.to/user171
Spark,https://dev.to/user172
JavaScript,https://medium.com/user173
MATLAB,https://github.io/user174
Big Data,https://behance.net/user175
Ruby,https://portfolio.com/user176
Angular,https://medium.com/user177
Frontend,https://medium.com/user178
Kubernetes,https://medium.com/user179
AI,https://portfolio.com/user180
Scala,https://linkedin.com/in/user181
Android Development,https://portfolio.com/user182
Data Science,https://github.io/user183
AI,https://medium.com/user184
Docker,https://dribbble.com/user185
Azure,https://github.io/user186
Keras,https://github.io/user187
SQL,https://dribbble.com/user188
Full Stack,https://linkedin.com/in/user189
Full Stack,https://linkedin.com/in/user190
Docker,https://portfolio.com/user191
Kotlin,https://github.io/user192
React,https://dev.to/user193
Node.js,https://dev.to/user194
React,https://dribbble.com/user195
R,https://linkedin.com/in/user196
iOS Development,https://github.io/user197
Java,https://dev.to/user198
Full Stack,https://medium.com/user199
Perl,https://medium.com/user200
C++,https://github.io/user201
Hadoop,https://github.io/user202
Ruby,https://linkedin.com/in/user203
Azure,https://behance.net/user204
PHP,https://dribbble.com/user205
React,https://behance.net/user206
Backend,https://linkedin.com/in/user207
Spark,https://dribbble.com/user208
Docker,https://linkedin.com/in/user209
Python,https://linkedin.com/in/user210
Python,https://dev.to/user211
Dart,https://dev.to/user212
C#,https://portfolio.com/user213
Spark,https://linkedin.com/in/user214
Vue.js,https://github.io/user215
Hadoop,https://linkedin.com/in/user216
Spring Boot,https://github.io/user217
Machine Learning,https://portfolio.com/user218
MATLAB,https://portfolio.com/user219
Java,https://behance.net/user220
AI,https://dev.to/user221
Angular,https://github.io/user222
Go,https://github.io/user223
Full Stack,https://dribbble.com/user224
Hadoop,https://medium.com/user225
Java,https://dev.to/user226
Backend,https://github.io/user227
Kubernetes,https://dribbble.com/user228
Spark,https://medium.com/user229
GCP,https://dev.to/user230
AI,https://github.io/user231
Kotlin,https://github.io/user232
Flask,https://portfolio.com/user233
Big Data,https://medium.com/user234
Python,https://portfolio.com/user235
C++,https://behance.net/user236
Keras,https://github.io/user237
Swift,https://portfolio.com/user238
Spark,https://behance.net/user239
Django,https://dribbble.com/user240
R,https://dev.to/user241
Docker,https://github.io/user242
Backend,https://dev.to/user243
TypeScript,https://github.io/user244
TypeScript,https://behance.net/user245
Android Development,https://medium.com/user246
Angular,https://dev.to/user247
Kubernetes,https://medium.com/user248
Game Development,https://linkedin.com/in/user249
Game Development,https://dev.to/user250
R,https://dribbble.com/user251
Machine Learning,https://dribbble.com/user252
Angular,https://medium.com/user253
Frontend,https://github.io/user254
Scala,https://dev.to/user255
PyTorch,https://github.io/user256
Flask,https://dribbble.com/user257
Kotlin,https://dribbble.com/user258
Azure,https://dribbble.com/user259
AWS,https://dribbble.com/user260
Big Data,https://github.io/user261
SQL,https://github.io/user262
React,https://dev.to/user263
C#,https://dev.to/user264
Node.js,https://dribbble.com/user265
AI,https://github.io/user266
R,https://portfolio.com/user267
SQL,https://portfolio.com/user268
Vue.js,https://github.io/user269
Ruby,https://dribbble.com/user270
Backend,https://portfolio.com/user271
Docker,https://medium.com/user272
Dart,https://linkedin.com/in/user273
iOS Development,https://behance.net/user274
MATLAB,https://medium.com/user275
PyTorch,https://portfolio.com/user276
Spring Boot,https://github.io/user277
Java,https://dribbble.com/user278
R,https://behance.net/user279
R,https://github.io/user280
Flask,https://github.io/user281
Android Development,https://behance.net/user282
R,https://github.io/user283
PHP,https://github.io/user284
AWS,https://dribbble.com/user285
Ruby,https://portfolio.com/user286
Blockchain,https://dribbble.com/user287
ASP.NET,https://github.io/user288
Python,https://medium.com/user289
Ruby,https://github.io/user290
PHP,https://portfolio.com/user291
Python,https://dribbble.com/user292
GCP,https://linkedin.com/in/user293
Vue.js,https://dribbble.com/user294
Data Science,https://github.io/user295
Backend,https://portfolio.com/user296
Shell,https://behance.net/user297
TypeScript,https://medium.com/user298
Frontend,https://linkedin.com/in/user299
Backend,https://medium.com/user300
Blockchain,https://portfolio.com/user301
Swift,https://dribbble.com/user302
